iso3,name,cv_code,espeak_code,english_name
afr,afr,af,af,Afrikaans
ces,ces,cs,cs,Czech
dan,dan,da,da,Danish
deu,deu,de,de,German
ell,ell,el,el,Greek
eng,eng,en,en,English
eng,eng,en,en-gb,English
eng,eng,en,en-sc,English
eng,eng,en,en-uk-north,English
eng,eng,en,en-uk-wmids,English
eng,eng,en,en-us,English
eng,eng,en,en-wi,English
epo,epo,eo,eo,Esperanto
fin,fin,fi,fi,Finnish
fra,fra,fr,fr-be,French
fra,fra,fr,fr-fr,French
hin,hin,hi,hi,Hindi
hun,hun,hu,hu,Hungarian
ind,ind,id,id,Indonesian
ita,ita,it,it,Italian
lit,lit,lt,lt,Lithuanian
mkd,mkd,mk,mk,Macedonian
nld,nld,nl,nl,Dutch
pol,pol,pl,pl,Polish
por,por,pt,pt-br,Portuguese
por,por,pt,pt-pt,Portuguese
ron,ron,ro,ro,Romanian
rus,rus,ru,ru,Russian
slk,slk,sk,sk,Slovak
spa,spa,es,es,Spanish
spa,spa,es,es-la,Spanish
srp,srp,sr,sr,Serbian
swe,swe,sv-SE,sv,Swedish
tur,tur,tr,tr,Turkish
vie,vie,vi,vi,Vietnamese
vie,vie,vi,vi-hue,Vietnamese
vie,vie,vi,vi-sgn,Vietnamese
yue,yue,yue,zh-yue,Cantonese
